name,kit_type,playtime,kills,deaths,damage_dealt,damage_received,flags_captured,flags_recovered,flags_stolen,drops,time_with_flag,hp_restored
bloomishly,MEDIC,951.0,21.0,34.0,508.439,3222.057,0.0,0.0,0.0,0.0,0.0,278.0
bloomishly,CHEMIST,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomishly,MEDIC,1138.0,16.0,35.0,770.199,3403.401,0.0,0.0,0.0,0.0,0.0,422.0
bm5,HEAVY,611.0,18.0,12.0,2739.067,2391.389,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,589.0,16.0,7.0,539.266,564.489,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,1201.0,65.0,13.0,1483.078,851.779,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,900.0,24.0,9.0,960.269,539.17,0.0,0.0,0.0,0.0,0.0,0.0
bm5,HEAVY,87.0,1.0,1.0,149.713,117.98,0.0,1.0,0.0,0.0,0.0,0.0
bm5,ARCHER,1180.0,52.0,23.0,1615.275,1522.94,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ENGINEER,20.0,0.0,1.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,781.0,23.0,14.0,918.34,823.175,0.0,0.0,0.0,0.0,0.0,0.0
bm5,HEAVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,1201.0,54.0,19.0,2163.115,1500.976,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ARCHER,1180.0,52.0,23.0,1615.275,1522.94,0.0,0.0,0.0,0.0,0.0,0.0
bm5,ENGINEER,20.0,0.0,1.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
